Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,G+Ap90,G-PKp90,G+A-PKp90,xG,npxG,xA,npxG+xA,xGp90,xAp90,xG+xAp90,npxGp90,npxG+xAp90,Matches
488,Timo Werner\Timo-Werner,de GER,FW,Chelsea,25-016,1996,28,23,2043,22.7,5,5,5,0,0,0,0,0.22,0.22,0.44,0.22,0.44,9.9,9.9,3.1,13.0,0.44,0.14,0.57,0.44,0.57,Matches
489,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,30-355,1990,29,29,2600,28.9,1,2,1,0,0,6,0,0.03,0.07,0.10,0.03,0.10,0.4,0.4,4.1,4.5,0.01,0.14,0.16,0.01,0.16,Matches
490,Ben White\Ben-White,eng ENG,DFMF,Brighton,23-165,1997,28,28,2472,27.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.02,0.02,0.03,0.02,0.03,Matches
491,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,30-131,1990,29,27,2346,26.1,2,0,2,0,0,1,0,0.08,0.00,0.08,0.08,0.08,2.7,2.7,1.4,4.1,0.10,0.05,0.16,0.10,0.16,Matches
492,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,20-200,2000,2,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
493,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,19-343,2001,5,3,248,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.03,0.10,0.13,0.03,0.13,Matches
494,Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,20-047,2001,3,2,211,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.08,0.10,0.02,0.10,Matches
495,Willian\Willian,br BRA,FWMF,Arsenal,32-225,1988,21,14,1196,13.3,0,5,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,1.9,1.9,2.0,3.9,0.14,0.15,0.29,0.14,0.29,Matches
496,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,21-214,1999,7,2,238,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.17,0.02,0.18,0.17,0.18,Matches
497,Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,21-214,1999,7,7,589,6.5,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,0.9,0.9,0.7,1.5,0.13,0.11,0.24,0.13,0.24,Matches
498,Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,29-023,1992,21,21,1812,20.1,10,5,6,4,4,2,0,0.50,0.25,0.75,0.30,0.55,9.5,6.5,1.6,8.1,0.47,0.08,0.55,0.32,0.40,Matches
499,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,25-048,1996,10,7,637,7.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.04,0.04,0.01,0.04,Matches
500,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,29-105,1991,24,23,1967,21.9,6,0,6,0,0,0,0,0.27,0.00,0.27,0.27,0.27,7.8,7.8,1.0,8.8,0.36,0.05,0.40,0.36,0.40,Matches
501,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,28-176,1992,25,24,2059,22.9,1,2,1,0,0,6,1,0.04,0.09,0.13,0.04,0.13,0.7,0.7,1.3,2.0,0.03,0.06,0.09,0.03,0.09,Matches
502,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,31-150,1989,14,1,357,4.0,0,1,0,0,0,3,0,0.00,0.25,0.25,0.00,0.25,0.4,0.4,1.0,1.4,0.11,0.24,0.35,0.11,0.35,Matches
503,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27-256,1993,6,5,436,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
504,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,27-013,1994,7,6,529,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.02,0.05,0.08,0.02,0.08,Matches
505,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,28-132,1992,21,20,1802,20.0,9,2,7,2,2,4,0,0.45,0.10,0.55,0.35,0.45,6.0,4.5,2.3,6.8,0.30,0.11,0.41,0.23,0.34,Matches
506,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,25-126,1995,29,23,2092,23.2,0,3,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,1.5,1.5,1.9,3.4,0.06,0.08,0.14,0.06,0.14,Matches
507,Andi Zeqiri\Andi-Zeqiri,ch SUI,DFFW,Brighton,21-273,1999,5,0,121,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.26,0.00,0.26,0.26,0.26,Matches
508,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,24-097,1996,14,11,1083,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.04,0.05,0.09,0.04,0.09,Matches
509,Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,28-003,1993,15,11,855,9.5,1,3,1,0,0,3,0,0.11,0.32,0.42,0.11,0.42,1.3,1.3,2.8,4.1,0.14,0.30,0.43,0.14,0.43,Matches
510,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,26-146,1994,17,17,1530,17.0,4,0,4,0,0,1,0,0.24,0.00,0.24,0.24,0.24,1.0,1.0,0.0,1.1,0.06,0.00,0.06,0.06,0.06,Matches
511,Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,22-095,1998,8,5,474,5.3,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,0.8,0.8,0.8,1.6,0.15,0.15,0.30,0.15,0.30,Matches
